iter	Passed	Remaining
0	0	111
1	0	75
2	0	76
3	0	69
4	1	64
5	1	68
6	1	67
7	1	62
8	1	58
9	1	54
10	2	53
11	2	58
12	2	59
13	2	58
14	3	58
15	3	57
16	3	56
17	3	55
18	3	54
19	3	55
20	4	54
21	4	53
22	4	52
23	4	52
24	4	50
25	4	51
26	4	50
27	5	49
28	5	47
29	5	47
30	5	46
31	5	45
32	5	44
33	5	44
34	5	43
35	5	43
36	6	42
37	6	42
38	6	42
39	6	42
40	6	42
41	6	41
42	6	41
43	7	41
44	7	40
45	7	40
46	7	39
47	7	39
48	7	39
49	7	38
50	7	38
51	8	38
52	8	38
53	8	37
54	8	37
55	8	37
56	8	37
57	8	36
58	9	37
59	9	36
60	9	36
61	9	36
62	9	36
63	9	36
64	10	36
65	10	36
66	10	36
67	10	35
68	10	35
69	10	35
70	10	35
71	11	35
72	11	35
73	11	35
74	11	35
75	11	34
76	11	34
77	12	34
78	12	34
79	12	34
80	12	34
81	12	33
82	12	33
83	13	33
84	13	33
85	13	33
86	13	33
87	13	33
88	13	33
89	16	37
90	16	37
91	16	36
92	16	36
93	16	36
94	16	36
95	16	35
96	17	35
97	17	35
98	17	35
99	17	34
100	17	34
101	17	34
102	17	34
103	17	33
104	18	33
105	18	33
106	18	33
107	18	32
108	18	32
109	18	32
110	18	32
111	19	32
112	19	31
113	19	31
114	19	31
115	19	31
116	19	31
117	19	30
118	20	30
119	20	30
120	20	30
121	20	29
122	20	29
123	20	29
124	20	29
125	21	29
126	21	28
127	21	28
128	21	28
129	21	28
130	21	28
131	21	27
132	21	27
133	22	27
134	22	27
135	22	27
136	22	26
137	22	26
138	22	26
139	22	26
140	23	26
141	23	25
142	23	25
143	23	25
144	23	25
145	23	25
146	23	24
147	24	24
148	24	24
149	24	24
150	24	24
151	24	23
152	24	23
153	24	23
154	24	23
155	25	23
156	25	22
157	25	22
158	25	22
159	25	22
160	25	22
161	25	22
162	25	21
163	26	21
164	26	21
165	26	21
166	26	21
167	26	20
168	26	20
169	26	20
170	27	20
171	27	20
172	27	20
173	27	19
174	27	19
175	27	19
176	27	19
177	27	19
178	27	18
179	28	18
180	28	18
181	28	18
182	28	18
183	28	17
184	28	17
185	28	17
186	28	17
187	28	17
188	28	17
189	29	16
190	29	16
191	29	16
192	29	16
193	29	16
194	29	15
195	29	15
196	29	15
197	29	15
198	30	15
199	30	15
200	30	14
201	30	14
202	30	14
203	30	14
204	30	14
205	30	14
206	30	13
207	30	13
208	31	13
209	31	13
210	31	13
211	31	13
212	31	12
213	31	12
214	31	12
215	31	12
216	31	12
217	32	12
218	32	11
219	32	11
220	32	11
221	32	11
222	32	11
223	32	11
224	32	10
225	32	10
226	32	10
227	33	10
228	33	10
229	33	10
230	33	10
231	33	9
232	33	9
233	33	9
234	34	9
235	34	9
236	34	9
237	34	8
238	34	8
239	34	8
240	34	8
241	35	8
242	35	8
243	35	8
244	35	7
245	35	7
246	35	7
247	35	7
248	35	7
249	36	7
250	36	7
251	36	6
252	36	6
253	36	6
254	36	6
255	36	6
256	37	6
257	37	6
258	37	5
259	37	5
260	37	5
261	37	5
262	37	5
263	37	5
264	38	5
265	38	4
266	38	4
267	38	4
268	38	4
269	38	4
270	38	4
271	38	4
272	39	3
273	39	3
274	39	3
275	39	3
276	39	3
277	39	3
278	39	3
279	40	2
280	40	2
281	40	2
282	40	2
283	40	2
284	40	2
285	40	1
286	40	1
287	41	1
288	41	1
289	41	1
290	41	1
291	41	1
292	41	0
293	41	0
294	41	0
295	42	0
296	42	0
297	42	0
298	42	0
299	42	0
